question,name,title,necessity,script,data,png,svg
q1,bottleneck_analysis,原报告局部边界价值图,历史报告，正文优先使用新图,src/plots/q1_legacy.py,outputs/q1_current/raw;outputs/q1_current/processed,outputs/processed/q1/bottleneck_analysis.png,outputs/processed/q1/bottleneck_analysis.svg
q2,timeseries_7d,连续7天原始功率,第二问数据诊断，按其章节选用,src/plots/q2.py,outputs/processed/q2/timeseries.csv,outputs/processed/q2/figures/timeseries_7d.png,outputs/processed/q2/figures/timeseries_7d.svg
q2,timeseries_30d,连续30天原始功率,第二问数据诊断，按其章节选用,src/plots/q2.py,outputs/processed/q2/timeseries.csv,outputs/processed/q2/figures/timeseries_30d.png,outputs/processed/q2/figures/timeseries_30d.svg
q2,annual_heatmaps,全年日期—时间热力图,第二问数据诊断，按其章节选用,src/plots/q2.py,outputs/processed/q2/timeseries.csv,outputs/processed/q2/figures/annual_heatmaps.png,outputs/processed/q2/figures/annual_heatmaps.svg
q2,monthly_profiles,12个月平均日曲线,第二问数据诊断，按其章节选用,src/plots/q2.py,outputs/processed/q2/full_year_profiles.csv,outputs/processed/q2/figures/monthly_profiles.png,outputs/processed/q2/figures/monthly_profiles.svg
q2,weekday_profiles,星期平均日曲线,第二问数据诊断，按其章节选用,src/plots/q2.py,outputs/processed/q2/full_year_profiles.csv,outputs/processed/q2/figures/weekday_profiles.png,outputs/processed/q2/figures/weekday_profiles.svg
q2,weekday_weekend,工作日与周末平均日曲线,第二问数据诊断，按其章节选用,src/plots/q2.py,outputs/processed/q2/full_year_profiles.csv,outputs/processed/q2/figures/weekday_weekend.png,outputs/processed/q2/figures/weekday_weekend.svg
q2,acf_pacf,自相关与Burg偏自相关,第二问数据诊断，按其章节选用,src/plots/q2.py,outputs/processed/q2/full_year_acf_pacf.csv,outputs/processed/q2/figures/acf_pacf.png,outputs/processed/q2/figures/acf_pacf.svg
q2,spectra,日周周期频谱验证,第二问数据诊断，按其章节选用,src/plots/q2.py,outputs/processed/q2/full_year_spectrum.csv;outputs/processed/q2/full_year_spectral_targets.csv,outputs/processed/q2/figures/spectra.png,outputs/processed/q2/figures/spectra.svg
q2,monthly_stability,月度周期稳定性,第二问数据诊断，按其章节选用,src/plots/q2.py,outputs/processed/q2/full_year_monthly_stability.csv,outputs/processed/q2/figures/monthly_stability.png,outputs/processed/q2/figures/monthly_stability.svg
q2,seasonal_moments,季节处理后的月度均值与波动,第二问数据诊断，按其章节选用,src/plots/q2.py,outputs/processed/q2/full_year_transformed_monthly_moments.csv;outputs/processed/q2/full_year_stationarity_tests.csv,outputs/processed/q2/figures/seasonal_moments.png,outputs/processed/q2/figures/seasonal_moments.svg
q2,daily_peaks,每日峰值与峰值时刻,第二问数据诊断，按其章节选用,src/plots/q2.py,outputs/processed/q2/full_year_daily_statistics.csv,outputs/processed/q2/figures/daily_peaks.png,outputs/processed/q2/figures/daily_peaks.svg
q2,fig5_1_source_load_structure,图5-1 源荷结构与预测特征依据组合图,用户指定正文图或附加热图,src/plots/q2_paper_final.py,outputs/processed/figures/q2_paper_final_20260913/data/fig51_weekday_profiles.csv;outputs/processed/figures/q2_paper_final_20260913/data/fig51_seasonal_pv.csv;outputs/processed/figures/q2_paper_final_20260913/data/fig51_load_lag_correlation.csv;outputs/processed/figures/q2_paper_final_20260913/data/fig51_pv_residual_acf.csv;outputs/processed/figures/q2_paper_final_20260913/data/fig51_pv_deseasonalized.csv,outputs/processed/figures/q2_paper_final_20260913/fig5_1_source_load_structure.png,outputs/processed/figures/q2_paper_final_20260913/fig5_1_source_load_structure.svg
q2,fig5_2_forecast_and_calibration,图5-2 不同前瞻日的误差分布与场景校准,用户指定正文图或附加热图,src/plots/q2_paper_final.py,outputs/processed/figures/q2_paper_final_20260913/data/fig52_paired_errors.csv;outputs/processed/figures/q2_paper_final_20260913/data/fig52_error_quantiles.csv;outputs/processed/figures/q2_paper_final_20260913/data/fig52_paired_coverage.csv;outputs/processed/figures/q2_paper_final_20260913/data/fig52_all_available_coverage.csv,outputs/processed/figures/q2_paper_final_20260913/fig5_2_forecast_and_calibration.png,outputs/processed/figures/q2_paper_final_20260913/fig5_2_forecast_and_calibration.svg
q2,fig5_3_causal_information_timeline,图5-3 非前瞻滚动调度的信息时序,用户指定正文图或附加热图,src/plots/q2_paper_final.py,docs/plots/q2_paper_final/问题二_必须与强推荐图_最终版.md,outputs/processed/figures/q2_paper_final_20260913/fig5_3_causal_information_timeline.png,outputs/processed/figures/q2_paper_final_20260913/fig5_3_causal_information_timeline.svg
q2,fig5_4_real_dispatch_20250320,图5-4 压力代表日真实购电与储能运行,用户指定正文图或附加热图,src/plots/q2_paper_final.py,outputs/processed/figures/q2_paper_final_20260913/data/fig54_real_dispatch.csv;outputs/processed/figures/q2_paper_final_20260913/data/fig54_storage_145.csv;outputs/processed/figures/q2_paper_final_20260913/data/fig54_candidate_dates.csv,outputs/processed/figures/q2_paper_final_20260913/fig5_4_real_dispatch_20250320.png,outputs/processed/figures/q2_paper_final_20260913/fig5_4_real_dispatch_20250320.svg
q2,fig5_5_local_horizon_tradeoff,图5-5 前瞻长度的局部费用与耗时权衡,用户指定正文图或附加热图,src/plots/q2_paper_final.py,outputs/processed/figures/q2_paper_final_20260913/data/fig55_horizon_summary.csv;outputs/processed/figures/q2_paper_final_20260913/data/fig55_horizon_cases.csv,outputs/processed/figures/q2_paper_final_20260913/fig5_5_local_horizon_tradeoff.png,outputs/processed/figures/q2_paper_final_20260913/fig5_5_local_horizon_tradeoff.svg
q2,figS1_annual_source_load_heatmaps,附加图 全年源荷日期—时刻热力图,用户指定正文图或附加热图,src/plots/q2_paper_final.py,outputs/processed/figures/q2_paper_final_20260913/data/figS1_annual_arrays.npz,outputs/processed/figures/q2_paper_final_20260913/figS1_annual_source_load_heatmaps.png,outputs/processed/figures/q2_paper_final_20260913/figS1_annual_source_load_heatmaps.svg
q3,core6_1_forecast_error,图6-1 不同发布时间下光伏预报误差结构及更新增益,第三问正文图或局部敏感性附图,src/plots/q3_paper_core.py,outputs/processed/figures/q3_paper_final_20260913/data/forecast_metrics.csv;outputs/processed/figures/q3_paper_final_20260913/data/forecast_pairs.csv;outputs/processed/figures/q3_paper_final_20260913/data/revision_pairs.csv;outputs/processed/figures/q3_paper_final_20260913/data/revision_summary.csv,outputs/processed/figures/q3_paper_final_20260913/core/core6_1_forecast_error.png,outputs/processed/figures/q3_paper_final_20260913/core/core6_1_forecast_error.svg
q3,core6_2_rolling_windows,图6-2 四时点滚动优化窗口及承诺执行机制,第三问正文图或局部敏感性附图,src/plots/q3_paper_core.py,outputs/processed/figures/q3_paper_final_20260913/data/execution_config.json,outputs/processed/figures/q3_paper_final_20260913/core/core6_2_rolling_windows.png,outputs/processed/figures/q3_paper_final_20260913/core/core6_2_rolling_windows.svg
q3,core6_3_typical_day,图6-3 代表日四时点预报更新下的购电与储能运行轨迹,第三问正文图或局部敏感性附图,src/plots/q3_paper_core.py,outputs/processed/figures/q3_paper_final_20260913/data/typical_dispatch.csv;outputs/processed/figures/q3_paper_final_20260913/data/typical_storage.csv;outputs/processed/figures/q3_paper_final_20260913/data/typical_forecasts_active.csv;outputs/processed/figures/q3_paper_final_20260913/data/typical_candidates.csv;outputs/processed/figures/q3_paper_final_20260913/data/typical_selection_scale.csv,outputs/processed/figures/q3_paper_final_20260913/core/core6_3_typical_day.png,outputs/processed/figures/q3_paper_final_20260913/core/core6_3_typical_day.svg
q3,fig6_3_forecast_and_plan_updates,备选A1 高更新日计划修订,第三问正文图或局部敏感性附图,src/plots/q3_paper_final.py,outputs/processed/figures/q3_paper_final_20260913/data/update_dispatch.csv;outputs/processed/figures/q3_paper_final_20260913/data/update_forecasts.csv;outputs/processed/figures/q3_paper_final_20260913/data/update_grid_policies.csv,outputs/processed/figures/q3_paper_final_20260913/fig6_3_forecast_and_plan_updates.png,outputs/processed/figures/q3_paper_final_20260913/fig6_3_forecast_and_plan_updates.svg
q3,fig6_4_pressure_day_dispatch,备选A2 压力日储能分轴,第三问正文图或局部敏感性附图,src/plots/q3_paper_final.py,outputs/processed/figures/q3_paper_final_20260913/data/pressure_dispatch.csv;outputs/processed/figures/q3_paper_final_20260913/data/pressure_storage.csv;outputs/processed/figures/q3_paper_final_20260913/data/pressure_candidates.csv,outputs/processed/figures/q3_paper_final_20260913/fig6_4_pressure_day_dispatch.png,outputs/processed/figures/q3_paper_final_20260913/fig6_4_pressure_day_dispatch.svg
q3,fig6_5_cost_structure,备选A3 月度费用结构,第三问正文图或局部敏感性附图,src/plots/q3_paper_final.py,outputs/processed/figures/q3_paper_final_20260913/data/monthly_costs.csv;outputs/processed/figures/q3_paper_final_20260913/data/formal_daily.csv,outputs/processed/figures/q3_paper_final_20260913/fig6_5_cost_structure.png,outputs/processed/figures/q3_paper_final_20260913/fig6_5_cost_structure.svg
q3,fig6_6_annual_storage_and_revisions,备选A4 全年储能与购电修订,第三问正文图或局部敏感性附图,src/plots/q3_paper_final.py,outputs/processed/figures/q3_paper_final_20260913/data/formal_dispatch.csv,outputs/processed/figures/q3_paper_final_20260913/fig6_6_annual_storage_and_revisions.png,outputs/processed/figures/q3_paper_final_20260913/fig6_6_annual_storage_and_revisions.svg
q4,fig7_1_joint_dro_mechanism,图7-1 严格因果DRO的双机制决策、结算与执行,问题四科研图，正文或补充选用,src/plots/q4_paper_final.py,outputs/processed/figures/q4_paper_final_20260913/data/provenance.json;outputs/processed/figures/q4_paper_final_20260913/data/solver_quality.csv,outputs/processed/figures/q4_paper_final_20260913/fig7_1_joint_dro_mechanism.png,outputs/processed/figures/q4_paper_final_20260913/fig7_1_joint_dro_mechanism.svg
q4,fig7_2_price_clock_and_density,图7-2 电价的日内时钟与严格因果预测密度,问题四科研图，正文或补充选用,src/plots/q4_paper_final.py,outputs/processed/figures/q4_paper_final_20260913/data/price_clock.csv;outputs/processed/figures/q4_paper_final_20260913/data/hourly_prices.csv;outputs/processed/figures/q4_paper_final_20260913/data/dispatch_4-2.csv,outputs/processed/figures/q4_paper_final_20260913/fig7_2_price_clock_and_density.png,outputs/processed/figures/q4_paper_final_20260913/fig7_2_price_clock_and_density.svg
q4,fig7_3_cost_change_bridge,图7-3 两套完整策略的费用变化与逐日配对分布,问题四科研图，正文或补充选用,src/plots/q4_paper_final.py,outputs/processed/figures/q4_paper_final_20260913/data/strategy_summary.csv;outputs/processed/figures/q4_paper_final_20260913/data/daily_cost_pairs.csv,outputs/processed/figures/q4_paper_final_20260913/fig7_3_cost_change_bridge.png,outputs/processed/figures/q4_paper_final_20260913/fig7_3_cost_change_bridge.svg
q4,fig7_4_energy_flow_and_entitlement,图7-4 真实能量流与购电额度的调用分拆,问题四科研图，正文或补充选用,src/plots/q4_paper_final.py,outputs/processed/figures/q4_paper_final_20260913/data/energy_flow.csv;outputs/processed/figures/q4_paper_final_20260913/data/strategy_summary.csv,outputs/processed/figures/q4_paper_final_20260913/fig7_4_energy_flow_and_entitlement.png,outputs/processed/figures/q4_paper_final_20260913/fig7_4_energy_flow_and_entitlement.svg
q4,fig7_5_high_risk_panorama,图7-5 高联合风险日的价—量—库存运行全景,问题四科研图，正文或补充选用,src/plots/q4_paper_final.py,outputs/processed/figures/q4_paper_final_20260913/data/riskday_4-2.csv;outputs/processed/figures/q4_paper_final_20260913/data/riskday_4-3.csv;outputs/processed/figures/q4_paper_final_20260913/data/riskday_soc_4-2.csv;outputs/processed/figures/q4_paper_final_20260913/data/riskday_soc_4-3.csv,outputs/processed/figures/q4_paper_final_20260913/fig7_5_high_risk_panorama.png,outputs/processed/figures/q4_paper_final_20260913/fig7_5_high_risk_panorama.svg
q4,fig7_6_radius_cost_risk_paths,图7-6 鲁棒半径扰动的成本—紧急风险轨迹,问题四科研图，正文或补充选用,src/plots/q4_paper_final.py,outputs/processed/figures/q4_paper_final_20260913/data/local_sensitivity.csv,outputs/processed/figures/q4_paper_final_20260913/fig7_6_radius_cost_risk_paths.png,outputs/processed/figures/q4_paper_final_20260913/fig7_6_radius_cost_risk_paths.svg
