id,requirement,implementation,verification,status
G4,SOC上界比例/unused/储能吞吐诊断,src/q4/diagnostics.py:sanity_metrics,test_baseline_alarm_and_storage_alarm;全年production_gates.metrics,verified
G5,仅334天完整且所有gate通过才导出正式Excel,src/q4/export.py:export_workbook;src/q4/run.py:main,test_workbook_roundtrip_and_partial_guard;verify_full.py,verified
P1,旧结果原样冻结，新输出目录禁止旧checkpoint续算,docs/4/rescue_lp/legacy_hashes.json;两*_v2目录,1180 SHA复核不变;launches_v2.json,verified
P2,不使用限时解、不调MIPgap掩盖、不砍场景和联合DRO,src/q4/optimization.py;两run/state.config,S20/W56/B100/DRO1.0，全部LPOptimal,verified
P3,不新增全年消融、参数扫描,src/q4/run.py正式入口;模型7.8,只存在q42/q43两个当前求解进程,verified
P4,恢复源码/依赖/输入与运行版本可追溯,docs/4/rescue_lp/frozen_source_v2;各run/resume.sh,manifest20份文件和state.signature匹配,verified
D1,最终报告包含修改文件、数学变更、保留机制、缺陷修复,docs/4/rescue_lp/report.md,逐项对照与模型文档,verified
D2,最终报告包含规模、时间、测试、经济门禁、完整结果路径,docs/4/rescue_lp/report.md;verify_full.py,final_results.csv与两份full_acceptance JSON,verified
D3,实际界面冒烟验证,CLI真实执行;7工作表渲染;CUA,真实CLI、7sheet渲染；WPS本机Q42三个sheet已实际AX/截图验证,verified
E01,SOC边界浮点舍入不得误拒合法节点,src/q4/optimization.py:build_matrix,test_soc_roundoff_at_both_boundaries,verified
E02,对偶无限界舍入残差与非有限失败日志处理,"src/q4/optimization.py:dual_bound,LimitedSolve",test_infinite_bound_roundoff_reproducer;test_failure_audit_remains_json_serializable;apr18_verified.json,verified
U02,问题2/3/4-2各自文件夹合成ZIP交付,outputs/processed/deliverables/数学建模_问题2_问题3_问题4-2_结果包_20260913.zip,32成员CRC与SHA全检;打包验收JSON,verified
U03,核实问题2/3是否做敏感性分析,docs/2/tail_reserve_work/acceptance.md;docs/3/production_rescue/report.md,已答复最终两题未做正式参数敏感性分析；Q2有少量求解精度比较,verified
