source_line,requirement,section,status,implementation,evidence,acceptance
23,本实验不用于在测试数据上寻找“最优参数”，而用于证明正式结果不存在明显参数脆弱性。,1,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,results.md::实测讨论与论文表述,目标通过真实结果评估，不预设稳定性通过
25,---,1,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,results.md::实测讨论与论文表述,目标通过真实结果评估，不预设稳定性通过
27,# 2. 敏感参数与实验优先级,2,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run::stages,daily_results.csv,rho三档/权重三档；W/S为可选且未执行
29,结合正式模型，选择以下四类参数：,2,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run::stages,daily_results.csv,rho三档/权重三档；W/S为可选且未执行
31,| 参数 | 基准 | 敏感性水平 | 优先级 |,2,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run::stages,daily_results.csv,rho三档/权重三档；W/S为可选且未执行
32,|---|---:|---:|---|,2,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run::stages,daily_results.csv,rho三档/权重三档；W/S为可选且未执行
33,| Wasserstein 半径 ρ | ρ* | 0.75ρ* / ρ* / 1.25ρ* | 必做 |,2,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run::stages,daily_results.csv,rho三档/权重三档；W/S为可选且未执行
34,"| 联合距离权重 (ω_N, ω_p) | (0.5, 0.5) | (0.7,0.3) / (0.5,0.5) / (0.3,0.7) | 必做 |",2,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run::stages,daily_results.csv,rho三档/权重三档；W/S为可选且未执行
35,| 历史残差窗口 W | 当前正式值 | 56 / 84 / 112 日 | 可选 |,2,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run::stages,daily_results.csv,rho三档/权重三档；W/S为可选且未执行
36,| 最大场景数 S_max | 当前正式值 | 0.75S* / S* / 1.25S* | 可选 |,2,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run::stages,daily_results.csv,rho三档/权重三档；W/S为可选且未执行
38,其中：,2,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run::stages,daily_results.csv,rho三档/权重三档；W/S为可选且未执行
40,- Wasserstein 半径直接控制分布鲁棒程度，是问题四最高优先级的敏感参数；,2,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run::stages,daily_results.csv,rho三档/权重三档；W/S为可选且未执行
41,- 联合距离权重直接决定价格误差和净负荷误差在联合场景构造中的相对作用，与“价格—源荷联合不确定性”这一核心模型设计直接相关；,2,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run::stages,daily_results.csv,rho三档/权重三档；W/S为可选且未执行
42,- 历史残差窗口用于验证历史分布估计是否依赖某个特定窗口长度；,2,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run::stages,daily_results.csv,rho三档/权重三档；W/S为可选且未执行
43,- 场景规模主要用于验证数值稳定性与计算效率之间的关系。,2,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run::stages,daily_results.csv,rho三档/权重三档；W/S为可选且未执行
45,---,2,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run::stages,daily_results.csv,rho三档/权重三档；W/S为可选且未执行
47,# 3. 不进行扰动的参数,3,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::configure / inputs,baseline_hashes; inputs/frozen_forecasts.json,原配置/预测/物理与结算冻结
49,以下参数属于题目给定条件，不进行敏感性修改：,3,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::configure / inputs,baseline_hashes; inputs/frozen_forecasts.json,原配置/预测/物理与结算冻结
51,- 紧急购电价格为交易时刻价格的 5 倍；,3,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::configure / inputs,baseline_hashes; inputs/frozen_forecasts.json,原配置/预测/物理与结算冻结
52,- 调整增购部分按交易价格的 1.5 倍支付；,3,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::configure / inputs,baseline_hashes; inputs/frozen_forecasts.json,原配置/预测/物理与结算冻结
53,- 减购违约费用为交易价格的 50%；,3,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::configure / inputs,baseline_hashes; inputs/frozen_forecasts.json,原配置/预测/物理与结算冻结
54,- 储能最大容量；,3,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::configure / inputs,baseline_hashes; inputs/frozen_forecasts.json,原配置/预测/物理与结算冻结
55,- 储能上下限；,3,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::configure / inputs,baseline_hashes; inputs/frozen_forecasts.json,原配置/预测/物理与结算冻结
56,- 最大充放电功率；,3,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::configure / inputs,baseline_hashes; inputs/frozen_forecasts.json,原配置/预测/物理与结算冻结
57,- 充放电效率 90%；,3,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::configure / inputs,baseline_hashes; inputs/frozen_forecasts.json,原配置/预测/物理与结算冻结
58,- 附件 4 中的真实实时电价。,3,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::configure / inputs,baseline_hashes; inputs/frozen_forecasts.json,原配置/预测/物理与结算冻结
60,同时不在本阶段重新进行 Elastic Net 大规模超参数搜索。,3,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::configure / inputs,baseline_hashes; inputs/frozen_forecasts.json,原配置/预测/物理与结算冻结
62,价格预测模型已经通过严格时间顺序的历史训练与验证确定，本次敏感性分析主要针对最终随机优化与鲁棒调度层。,3,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::configure / inputs,baseline_hashes; inputs/frozen_forecasts.json,原配置/预测/物理与结算冻结
64,---,3,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::configure / inputs,baseline_hashes; inputs/frozen_forecasts.json,原配置/预测/物理与结算冻结
66,# 4. 总体实验原则,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
68,采用：,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
70,> **代表日 + 单因素扰动（OFAT）**,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
72,进行敏感性分析。,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
74,每次只改变一个待分析参数，其余设置全部保持与正式基准模型一致，包括：,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
76,- 价格预测结果；,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
77,- 净负荷预测结果；,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
78,- 历史信息边界；,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
79,- 初始真实 SOC；,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
80,- 储能物理参数；,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
81,- 成本结算方式；,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
82,- 求解器；,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
83,- optimality gap；,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
84,- 随机种子；,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
85,- 真实回放方式。,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
87,正式基准结果已经存在时直接复用，不重复运行基准配置。,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
89,不重新运行全年 334 天。,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
91,---,4,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::run / freeze,cases/*/audit.json::experiment,仅一个配置字段变化；基准直接复用
93,# 5. 代表日选择,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
95,## 5.1 Q4-2 代表日,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
97,选择 4 个代表日。,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
99,日期必须由程序按照预先固定规则自动选择，不允许看到敏感性结果后人工挑选。,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
101,建议所有日期从 6—12 月选择，使 56、84、112 日历史窗口都具有实际区别。,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
103,| 工况 | 自动选择规则 | 目的 |,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
104,|---|---|---|,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
105,| 常规日 | 日总成本最接近全年中位数 | 检验普通状态 |,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
106,| 高价格波动日 | 当日电价标准差或 max-min 最大 | 检验价格风险 |,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
107,| 高联合风险日 | 价格—净负荷联合风险分数最高 | 检验联合尾部 |,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
108,| 高运行压力日 | 紧急购电量、总成本或峰值净负荷较高 | 检验极端状态 |,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
110,如果多个规则选中同一天，则后一个规则顺延选择该指标排名第二且尚未使用的日期。,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
112,---,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
114,## 5.2 Q4-3 代表日,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
116,问题 4-3 每天包含：,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
118,```text,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
119,0:00,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
120,→ 6:00,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
121,→ 12:00,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
122,→ 18:00,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
124,四个滚动节点，计算成本明显高于 Q4-2。,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
126,因此只选择 2 个代表日：,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
128,常规日；,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
129,高联合风险日或高调整成本日。,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
131,Q4-3 只执行最核心的 Wasserstein 半径敏感性，不完整重复 Q4-2 的全部实验。,5,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::prepare,representatives.json; selection_metrics_4-2.csv; selection_metrics_4-3.csv,结果前固定规则，6-12月、去重、4/2日
133,6. Q4-S1：Wasserstein 半径敏感性,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
134,6.1 实验目的,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
136,Wasserstein 半径 ρ 控制概率模糊集大小。,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
138,较小的 ρ 更接近经验分布优化，较大的 ρ 允许更大的概率质量迁移，使优化模型更加关注有限样本造成的分布估计误差。,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
140,这是问题四最核心的敏感参数。,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
142,6.2 参数设置,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
144,定义：,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
146,rho_test = k_rho * rho_base,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
148,测试：,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
150,设置	k_rho,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
151,弱鲁棒	0.75,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
152,基准	1.00,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
153,强鲁棒	1.25,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
155,其余内容全部冻结。,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
157,特别保持：,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
159,同一历史联合残差池；,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
160,同一联合场景；,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
161,同一经验场景概率；,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
162,同一初始 SOC；,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
163,同一预测结果；,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
164,同一求解器设置。,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
166,只改变 Wasserstein 半径。,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
168,6.3 Q4-2 记录指标,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
170,记录：,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
172,真实结算总成本；,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
173,正常计划购电费用；,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
174,紧急购电量；,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
175,紧急购电费用；,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
176,当日最低 SOC；,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
177,24:00 SOC；,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
178,求解时间。,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
179,6.4 Q4-3 额外指标,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
181,增加：,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
183,调整购电量；,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
184,调整费用。,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
185,6.5 结果判断,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
187,主要判断：,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
189,ρ 增大后模型是否更加稳健；,6,verified_or_reported,src/sensitivity/q4_experiment.py; src/sensitivity/q4_report.py::freeze / run::selected_scenarios / metrics,solver_quality.csv; daily_results.csv,rho乘0.75/1.25且场景概率指纹不变
