source_line,section,text,implementation,evidence
26,2.,的实验方式。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
28,2.,每次实验只改变一个参数，其余设置全部与正式基准模型保持一致，包括：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
30,2.,- 预测结果；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
31,2.,- 历史误差池；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
32,2.,- 初始 SOC；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
33,2.,- 随机种子；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
34,2.,- 求解器设置；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
35,2.,- optimality gap；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
36,2.,- 储能物理参数；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
37,2.,- 成本计算方式。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
39,2.1,### 2.1 不重新运行全年,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
41,2.1,正式评价区间共有 334 天。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
43,2.1,敏感性分析不重新运行全部 334 天，而是分别从问题 2 和问题 3 中选择 4 个具有代表性的日期进行局部重新求解。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
45,2.1,对于每个代表日：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
47,2.1,1. 读取正式基准回放中该日 0:00 的真实初始 SOC；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
48,2.1,2. 冻结该日之前已经形成的历史预测、误差池和其他可用信息；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
49,2.1,3. 只改变当前待分析参数；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
50,2.1,4. 重新求解该日；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
51,2.1,5. 与同一天的正式基准结果进行比较。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
53,2.1,因此，本实验的含义是：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
55,2.1,> 在相同历史状态和信息条件下，研究核心参数变化对当前决策结果的局部影响。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
57,2.1,该实验不重新构造新的全年 SOC 轨迹。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
59,2.1,已有基准结果直接复用，不重复运行基准配置。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
61,2.1,---,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
63,3.,# 3. 代表日选择,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
65,3.,问题 2 和问题 3 分别选择 4 个代表日。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
67,3.,所有日期均由程序按照预先固定的规则自动选择，不允许根据敏感性分析结果人工挑选。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
69,3.1,## 3.1 问题 2 代表日,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
71,3.1,| 类型 | 自动选择规则 |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
72,3.1,|---|---|,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
73,3.1,| 常规日 | 日总成本最接近全年中位数，且紧急购电量较低 |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
74,3.1,| 高预测误差日 | 净负荷预测 MAE 最大或处于最高分位 |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
75,3.1,| 高紧急购电日 | 当日紧急购电量最大 |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
76,3.1,| 高系统压力日 | 当日峰值净负荷最高 |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
78,3.1,若多个条件选择到同一个日期，则后一个条件顺延选择该指标排名第二且尚未被使用的日期。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
80,3.1,这样可以覆盖：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
82,3.1,- 正常运行；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
83,3.1,- 预测误差较大；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
84,3.1,- 紧急购电风险较高；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
85,3.1,- 系统供需压力较高。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
87,3.1,四类典型工况。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
89,3.1,---,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
91,3.2,## 3.2 问题 3 代表日,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
93,3.2,| 类型 | 自动选择规则 |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
94,3.2,|---|---|,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
95,3.2,| 常规日 | 日总成本最接近全年中位数 |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
96,3.2,| 高预测更新日 | 0:00 与后续 6:00/12:00 新预报差异较大的日期 |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
97,3.2,| 高调整成本日 | 当日 adjustment cost 最高或处于最高分位 |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
98,3.2,| 高风险日 | 紧急购电量或峰值净负荷最高 |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
100,3.2,这样可以覆盖：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
102,3.2,- 正常运行；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
103,3.2,- 新预报信息变化较大；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
104,3.2,- 调整购电较明显；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
105,3.2,- 极端供需风险。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
107,3.2,四类工况。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
109,3.2,---,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
111,4.,# 4. 问题 2 敏感性分析,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
113,4.,问题 2 的风险控制机制主要来自：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
115,4.,1. 历史不利尾部场景保留；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
116,4.,2. 动态 SOC 安全裕度。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
118,4.,模型中的 80% 临界分位来自题目规定的“紧急购电价格为正常购电价格的 5 倍”，属于模型理论结构，而不是人为调节得到的参数。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
120,4.,因此，不建议直接把 0.8 修改为 0.7 或 0.9。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
122,4.,本实验主要对最终形成的 SOC 安全裕度和尾部场景比例进行扰动。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
124,4.,---,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
126,4.1,## 4.1 Q2-S1：动态 SOC 安全裕度敏感性,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
128,4.1,正式模型计算得到动态 SOC 安全裕度 `R_t`。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
130,4.1,在敏感性实验中定义：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
132,4.1,`R_t(β) = β_R × R_t`,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
134,4.1,设置：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
136,4.1,| 设置 | β_R |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
137,4.1,|---|---:|,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
138,4.1,| 较弱安全保护 | 0.8 |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
139,4.1,| 基准方案 | 1.0 |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
140,4.1,| 较强安全保护 | 1.2 |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
142,记录指标,### 记录指标,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
144,记录指标,每个代表日记录：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
146,记录指标,- 实际总购电成本；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
147,记录指标,- 计划购电费用；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
148,记录指标,- 紧急购电量；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
149,记录指标,- 紧急购电费用；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
150,记录指标,- 当日最低 SOC；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
151,记录指标,- 24:00 SOC；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
152,记录指标,- 求解时间。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
154,主要判断,### 主要判断,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
156,主要判断,重点观察：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
158,主要判断,1. β_R 增大以后，紧急购电风险是否下降；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
159,主要判断,2. 风险降低是否只需要付出有限的普通购电成本；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
160,主要判断,3. β_R 在 ±20% 范围变化以后，总购电成本是否剧烈变化；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
161,主要判断,4. 模型主要结论是否发生反转。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
163,主要判断,如果 β_R = 0.8、1.0、1.2 下主要经济结果总体稳定，则说明动态 SOC 安全裕度并不依赖某个精确参数值才能有效工作。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
165,主要判断,---,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
167,4.2,## 4.2 Q2-S2：尾部场景比例敏感性,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
169,4.2,保持总场景数 `S` 不变，只改变尾部场景比例。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
171,4.2,测试：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
173,4.2,| 设置 | ρ_tail |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
174,4.2,|---|---:|,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
175,4.2,| 较弱尾部保护 | 10% |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
176,4.2,| 基准方案 | 20% |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
177,4.2,| 较强尾部保护 | 30% |,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
179,4.2,主体场景和尾部场景的总数量始终保持不变。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
181,4.2,这样可以避免把：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
183,4.2,> 尾部风险保护增强,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
185,4.2,与：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
187,4.2,> 场景数量增加,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
189,4.2,两个因素混在一起。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
191,记录指标,### 记录指标,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
193,记录指标,记录：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
195,记录指标,- 实际总成本；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
196,记录指标,- 计划购电费用；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
197,记录指标,- 紧急购电量；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
198,记录指标,- 紧急购电费用；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
199,记录指标,- 最低 SOC；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
200,记录指标,- 24:00 SOC；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
201,记录指标,- 求解时间。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
203,实验目的,### 实验目的,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
205,实验目的,验证：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
207,实验目的,> 模型结果是否高度依赖恰好选择 20% 的尾部比例，以及显式保留高风险历史误差轨迹是否能够稳定降低高代价紧急购电风险。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
209,实验目的,---,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
211,4.3,## 4.3 Q2-S3：场景规模敏感性（可选）,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
213,4.3,本实验优先级低于前两项。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
215,4.3,只有 Q2-S1 和 Q2-S2 很快完成以后才运行。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
217,4.3,若正式模型基准场景数为：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
219,4.3,`S* = 20`,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
221,4.3,则测试：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
223,4.3,`S = 10 / 20 / 30`,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
225,记录指标,### 记录指标,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
227,记录指标,- 总购电成本；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
228,记录指标,- 紧急购电量；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
229,记录指标,- 紧急购电费用；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
230,记录指标,- 求解时间。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
232,实验目的,### 实验目的,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
234,实验目的,不是寻找测试期上的“最优场景数”，而是判断：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
236,实验目的,> 当前场景规模是否已经足够稳定。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
238,实验目的,如果 S=20 与 S=30 的经济结果基本一致，而求解时间明显增加，则说明继续增加场景数量的收益已经较小。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
240,实验目的,时间不足时直接取消该实验。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
242,实验目的,---,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
244,5.,# 5. 问题 3 敏感性分析,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
246,5.,问题 3 原模型已经设计了场景规模、尾部保持和终端储能价值等敏感性参数。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
248,5.,考虑计算时间，本次优先进行：,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
250,5.,1. 场景数敏感性；,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
251,5.,2. 终端储能价值敏感性。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
253,5.,尾部场景名额作为可选实验。,src/sensitivity/prepare.py;q2.py;q3.py;run.py;report.py,tests.txt;representatives.json;inputs/*/metadata.json;jobs/*/result.json
